project_id,project_name,sector,keyword
0,TicketMarket,Marketplace,NFT
1,BlogChain,Social,децентрализован
1,BlogChain,Social,блокчейн
3,IdentitySolution,Infrastructure,децентрализован
4,CryptoCollectibles,Marketplace,крипто
5,NewsPlatform,Social,децентрализован
6,GovernanceProtocol,Infrastructure,децентрализован
6,GovernanceProtocol,Infrastructure,DAO
7,DerivativesDEX,DeFi,децентрализован
7,DerivativesDEX,DeFi,крипто
8,DecentralSocial,Social,блокчейн
8,DecentralSocial,Social,стейкинг
10,LendingProtocol,DeFi,децентрализован
11,DexFin,DeFi,децентрализован
11,DexFin,DeFi,блокчейн
11,DexFin,DeFi,масштабируем
11,DexFin,DeFi,ферминг
11,DexFin,DeFi,Layer-2
12,BattleArena,Gaming,NFT
12,BattleArena,Gaming,стейкинг
13,OracleLink,Infrastructure,смарт-контракт
13,OracleLink,Infrastructure,децентрализован
13,OracleLink,Infrastructure,DeFi
13,OracleLink,Infrastructure,безопасн
13,OracleLink,Infrastructure,оракул
14,PayMentor,Payments,смарт-контракт
14,PayMentor,Payments,блокчейн
14,PayMentor,Payments,анонимн
14,PayMentor,Payments,крипто
15,PrivacyProtocol,Infrastructure,блокчейн
16,PodcastNetwork,Social,децентрализован
16,PodcastNetwork,Social,NFT
19,B2BPayments,Payments,смарт-контракт
20,DomainMarket,Marketplace,блокчейн
20,DomainMarket,Marketplace,NFT
21,PredictionMarket,DeFi,децентрализован
21,PredictionMarket,DeFi,анонимн
22,FashionMarket,Marketplace,NFT
24,SupplyChainPro,Infrastructure,блокчейн
24,SupplyChainPro,Infrastructure,прозрачн
25,StrategyGame,Gaming,блокчейн
26,CharityPlatform,Payments,прозрачн
27,DataVault,Storage,децентрализован
27,DataVault,Storage,масштабируем
28,VideoPlatform,Social,децентрализован
29,ColdStorage,Storage,крипто
30,SocialChain,Social,децентрализован
30,SocialChain,Social,токен
30,SocialChain,Social,анонимн
30,SocialChain,Social,крипто
32,VirtualWorld,Gaming,метавселенная
34,CrossChainSwap,Infrastructure,блокчейн
34,CrossChainSwap,Infrastructure,кросс-чейн
35,EcommercePay,Payments,крипто
37,EtherLotty,Gaming,смарт-контракт
37,EtherLotty,Gaming,децентрализован
37,EtherLotty,Gaming,блокчейн
37,EtherLotty,Gaming,NFT
37,EtherLotty,Gaming,прозрачн
37,EtherLotty,Gaming,анонимн
37,EtherLotty,Gaming,Ethereum
38,YieldOptimizer,DeFi,DeFi
38,YieldOptimizer,DeFi,крипто
39,SecureCloud,Storage,децентрализован
41,RealEstateMarket,Marketplace,токен
42,CrossChainDex,DeFi,блокчейн
42,CrossChainDex,DeFi,токен
42,CrossChainDex,DeFi,Ethereum
43,ArtMarketplace,Marketplace,NFT
45,CryptoInsurance,DeFi,смарт-контракт
45,CryptoInsurance,DeFi,децентрализован
45,CryptoInsurance,DeFi,крипто
46,MedicalStorage,Storage,безопасн
47,PhotoSharing,Social,децентрализован
47,PhotoSharing,Social,NFT
48,CardGame,Gaming,токен
48,CardGame,Gaming,стейкинг
49,MusicPlatform,Social,децентрализован
49,MusicPlatform,Social,NFT
49,MusicPlatform,Social,прозрачн
50,InteroperabilityBridge,Infrastructure,блокчейн
50,InteroperabilityBridge,Infrastructure,безопасн
50,InteroperabilityBridge,Infrastructure,кросс-чейн
51,InsurancePool,DeFi,децентрализован
51,InsurancePool,DeFi,DeFi
52,GameFiWorld,Gaming,блокчейн
52,GameFiWorld,Gaming,NFT
52,GameFiWorld,Gaming,метавселенная
53,BackupSolution,Storage,децентрализован
54,OracleNetwork,Infrastructure,децентрализован
54,OracleNetwork,Infrastructure,оракул
55,NFTMarketGo,Marketplace,блокчейн
55,NFTMarketGo,Marketplace,NFT
56,RacingGame,Gaming,NFT
56,RacingGame,Gaming,токен
57,ScalabilityChain,Infrastructure,Ethereum
57,ScalabilityChain,Infrastructure,Layer-2
58,RPGUniverse,Gaming,блокчейн
